codigo_ibge,nome,uf,regiao
1100015,Alta Floresta D'Oeste,RO,Norte
1100023,Ariquemes,RO,Norte
1100031,Cabixi,RO,Norte
1100049,Cacoal,RO,Norte
1100056,Cerejeiras,RO,Norte
1100064,Colorado do Oeste,RO,Norte
1100072,Corumbiara,RO,Norte
1100080,Costa Marques,RO,Norte
1100098,Espigão D'Oeste,RO,Norte
1100106,Guajará-Mirim,RO,Norte
1100114,Jaru,RO,Norte
1100122,Ji-Paraná,RO,Norte
1100130,Machadinho D'Oeste,RO,Norte
1100148,Nova Brasilândia D'Oeste,RO,Norte
1100155,Ouro Preto do Oeste,RO,Norte
1100189,Pimenta Bueno,RO,Norte
1100205,Porto Velho,RO,Norte
1100254,Presidente Médici,RO,Norte
1100262,Rio Crespo,RO,Norte
1100288,Rolim de Moura,RO,Norte
1100296,Santa Luzia D'Oeste,RO,Norte
1100304,Vilhena,RO,Norte
1100320,São Miguel do Guaporé,RO,Norte
1100338,Nova Mamoré,RO,Norte
1100346,Alvorada D'Oeste,RO,Norte
1100379,Alto Alegre dos Parecis,RO,Norte
1100403,Alto Paraíso,RO,Norte
1100452,Buritis,RO,Norte
1100502,Novo Horizonte do Oeste,RO,Norte
1100601,Cacaulândia,RO,Norte
1100700,Campo Novo de Rondônia,RO,Norte
1100809,Candeias do Jamari,RO,Norte
1100908,Castanheiras,RO,Norte
1100924,Chupinguaia,RO,Norte
1100940,Cujubim,RO,Norte
1101005,Governador Jorge Teixeira,RO,Norte
1101104,Itapuã do Oeste,RO,Norte
1101203,Ministro Andreazza,RO,Norte
1101302,Mirante da Serra,RO,Norte
1101401,Monte Negro,RO,Norte
1101435,Nova União,RO,Norte
1101450,Parecis,RO,Norte
1101468,Pimenteiras do Oeste,RO,Norte
1101476,Primavera de Rondônia,RO,Norte
1101484,São Felipe D'Oeste,RO,Norte
1101492,São Francisco do Guaporé,RO,Norte
1101500,Seringueiras,RO,Norte
1101559,Teixeirópolis,RO,Norte
1101609,Theobroma,RO,Norte
1101708,Urupá,RO,Norte
1101757,Vale do Anari,RO,Norte
1101807,Vale do Paraíso,RO,Norte
1200013,Acrelândia,AC,Norte
1200054,Assis Brasil,AC,Norte
1200104,Brasiléia,AC,Norte
1200138,Bujari,AC,Norte
1200179,Capixaba,AC,Norte
1200203,Cruzeiro do Sul,AC,Norte
1200252,Epitaciolândia,AC,Norte
